BookId,ChapterId,HikeId,Hike Title,Rating,Difficulty,Distance (mi),Elevation Gain (ft),High Point (ft),Season
1,1,1,Wildside Trail - De Leo Wall,3,2,4,350,950,Year-round
1,1,2,Red Town Meadow,3,1,1.5,150,800,Year-round
1,1,3,Call Creek Falls,3,2,2.5,350,1000,Year-round
1,1,4,Anti-Aircraft Peak,4,2,6,625,1525,Year-round
1,1,5,Wilderness Peak,3,3,4,1200,1600,Year-round
1,1,6,Poo Poo Point-High School Trail,3,3,7.4,1650,1850,Mar-Nov
1,1,7,Pilots Trail to Poo Poo Point Launch,3,3,4,1650,1850,Feb-Nov
1,1,8,West Tiger Railroad Grade,4,4,10,1600,2000,Feb-Nov
1,1,9,West Tiger 3,4,4,5,2100,2525,Mar-Nov
1,1,10,Tradition Lake Loop,4,2,4,400,800,Year-round
1,1,11,Tiger Mountain Trail: North,3,3,5,1100,1500,Mar-Nov
1,1,12,Northwest Timber Trail,3,2,5,200,1500,Year-round
1,1,13,Middle Tiger Looop,4,4,8.6,2200,2607,Feb-Nov
1,1,14,Tiger Mountain Trail: South,3,2,4,600,1100,Year-round
1,1,15,Tiger Mountain Trail,5,5,16,2200,2607,Mar-Nov
1,1,16,Grand Ridge Trail,3,3,9,600,1050,Year-round
1,1,17,Soaring Eagle Park,3,2,7.5,150,575,Year-round
1,1,18,Taylor Mountain-Holder Knob Loop,2,2,6,600,1100,Year-round
1,2,19,Bare Mountain,3,5,8,3250,5353,June-Oct
1,2,20,Tolt MacDonald Park,3,1,2.5,100,150,Year-round
1,2,21,Rattlesnake Ledge,5,3,4,1160,2078,Mar-Nov
1,2,22,Rattlesnake Mountain,4,3,4.5,1600,2530,Mar-Nov
1,2,23,Cedar Butte,3,3,5,900,1880,Year-round
1,2,24,Iron Horse Trail-Change Creek,3,2,12,550,1350,Year-round
1,2,25,Twin Falls,4,2,3,500,1000,Year-round
1,2,26,Little Si,4,4,5,1200,1576,Year-round
1,2,27,Mount Si,4,5,8,3150,3900,May-Nov
1,2,28,Old Si-Boulder Garden Loop,3,2,2.4,800,1350,Year-round
1,2,29,Mount Teneriffe,4,5,14,3800,4788,May-Nov
1,2,30,Kamakazi (Teneriffe) Falls,3,3,6.5,1300,2400,Mar-Nov
1,2,31,Granite Lakes,4,4,12,2100,3075,May-Nov
1,2,32,Mailbox Peak,5,5,6,4100,4926,May-Nov
1,2,33,CCC Road: Blowout Creek,3,2,7,620,1520,May-Nov
1,2,34,Bessemer Mountain,3,4,12,4100,5028,July-Oct
1,2,35,CCC Road: Upper Trailhead,3,2,4,400,1450,Year-round
1,2,36,CCC Road: Campground,3,2,6,400,1350,Year-round
1,2,37,Middle Fork Snoqualmie: Downstream to Platt,4,3,7,200,1100,Mar-Nov
1,2,38,Middle Fork Snoqualmie: Upstream,4,2,6,200,1100,Mar-Nov
1,2,39,Big Creek Falls,3,3,10,650,1750,Mar-Nov
1,2,40,Rock Creek Falls,3,3,11,210,3400,July-Nov
1,2,41,Dingford Creek-Hester Lake,4,4,12,2600,3900,July-Oct
1,2,42,Upper Middle Fork Snoqualmie,3,4,12,1600,4600,Aug-Oct
1,3,43,Mount Washington,3,5,8,3200,4405,June-Nov
1,3,44,Deception Crags,2,1,1,250,1450,Apr-Nov
1,3,45,Dirty Harry,3,3,5,1300,2600,June-Oct
1,3,46,McClellan Butte,3,5,9,3700,5162,June-Oct
1,3,47,Ira Spring Trail,3,4,7.5,2550,4750,June-Oct
1,3,48,Mount Defiance,5,5,11,3384,5584,Aug-Oct
1,3,49,Little Bandera Mountain,3,4,7,2850,5050,June-Oct
1,3,50,Talapus and Olallie Lakes,3,2,4,1220,3780,May-Oct
1,3,51,Island and RAinbow Lakes,4,4,10,2000,4400,June-Oct
1,3,52,Pratt Lake Basin,4,4,8,2300,4100,June-Oct
1,3,53,Granite Mountain,5,5,8,3800,5629,July-Oct
1,3,54,Denny Creek,3,2,4,700,3000,June-Oct
1,3,55,Melakwa Lake,3,4,9,2300,4600,June-Oct
1,3,56,Franklin Falls,3,1,2,400,2600,June-Nov
1,3,57,Asahel Curtis Nature Trail,3,1,0.5,180,2000,June-Nov
1,3,58,Annette Lake,3,3,7.5,1700,3600,June-Oct
1,4,59,Commonwealth Basin,4,4,10,2700,5350,July-Oct
1,4,60,Kendall Katwalk,5,4,11,2700,5400,July-Oct
1,4,61,Snow Lake,4,3,6,1400,4400,July-Oct
1,4,62,Gem Lake,5,4,10,2200,4927,July-Oct
1,4,63,Source Lake,3,3,4,700,3800,July-Oct
1,4,64,Lodge Lake,2,2,3,500,3500,July-Oct
1,4,65,Iron Horse Trail Tunnel,3,3,6,0,2500,May-Oct
1,4,66,Silver Peak,4,3,8.5,1900,5495,July-Oct
1,4,67,Twin Lakes-Tinkham Loop,4,3,8,2600,4500,July-Oct
1,4,68,Mount Catherine,2,3,3,1300,5052,July-Oct
1,4,69,Mirror Lake,2,2,3,800,4200,July-Oct
1,4,70,Stirrup Lake,3,3,4,600,3630,June-Oct
1,4,71,Gold Creek Pond Loop,2,1,1,100,3000,May-Oct
1,4,72,Margaret Lake,3,3,6,1500,5100,June-Oct
1,4,73,Twin Lakes and Lake Lillian,3,4,9,1500,5300,June-Oct
1,5,74,Rachel Lake,4,4,8,1600,4600,July-Oct
1,5,75,Kachess Ridge,4,4,6,2200,4600,June-Oct
1,5,76,Easton Ridge,3,4,6,2270,4470,June-Oct
1,5,77,Thorp Lake,3,4,7,1300,4800,June-Oct
1,5,78,Knox Creek-Thorp Mountain,4,3,4.4,1800,5854,June-Oct
1,5,79,No Name Ridge-Thorp Mountain,4,3,9,1000,5854,June-Oct
1,5,80,Howson Creek,3,4,5,2400,4400,June-Oct
1,5,81,Hex Mountain,3,4,6,1400,4990,July-Oct
1,5,82,Boulder Creek-Gallagher Head Lake,4,4,9,2100,5606,July-Oct
1,5,83,Coal Mines Trail,3,1,6.5,200,2200,Year-round
1,5,84,North Fork Taneum Creek,3,2,8,300,3300,May-Nov
1,5,85,Taneum Ridge-Fishhook Flats Loop,3,3,14,1400,4200,June-Oct
1,5,86,Lost and Manastash Lakes,4,3,7,700,5100,June-Oct
1,5,87,French Cabin Creek,4,3,7,1400,5500,June-Oct
1,5,88,French Cabin Mountain,4,5,10,1750,5580,July-Oct
1,5,89,Pete Lake,3,3,9,400,3200,June-Oct
1,5,90,Cooper River,3,2,6,500,2800,May-Oct
1,5,91,Polallie Ridge,4,5,8,3000,5300,June-Oct
1,5,92,Davis Peak,5,5,11,3900,6426,June-Oct
1,5,93,Jolly Mountain,3,5,12,4000,6440,July-Oct
1,5,94,Paddy-Go-Easy Pass,3,4,7,2700,6100,July-Oct
1,5,95,Cathedral Rock,4,4,9,2200,5600,July-Oct
1,5,96,Hyas Lake,2,1,4,100,3500,July-Oct
1,6,97,Red Top Lookout and Agate Beds,4,2,3,400,5361,July-Nov
1,6,98,Middle Fork Teanaway,3,2,7,300,3000,May-Nov
1,6,99,Elbow Peak,4,4,10,2800,5673,June-Nov
1,6,100,Koppen Mountain,4,4,7,2300,6031,July-Nov
1,6,101,De Roux Creek-Gallagher Head Lake,3,3,8,1900,5600,May-Nov
1,6,102,Johnson Creek-Medra Pass,4,3,8,2200,5420,July-Nov
1,6,103,Way Creek Trail-Middle Fork Teanaway,3,2,4.4,1000,3600,May-Nov
1,6,104,Bear Creek,3,1,3.5,500,3550,May-Nov
1,6,105,Standup Creek to Stafford Creek Overlook,4,4,7,2950,6150,July-Oct
1,6,106,Esmeralda Basin,4,3,7,1750,5960,July-Oct
1,6,107,Lake Ingalls,5,5,9,2600,6500,July-Oct
1,6,108,Longs Pass,5,4,5,2100,6250,July-Oct
1,6,109,Bean Creek Basin,4,3,5,2000,5300,June-Oct
1,6,110,Beverly Creek-Fourth of July Creek Overlook,4,3,7,1900,5560,June-Oct
1,6,111,Navaho Pass,5,3,11,3000,6000,July-Oct
1,6,112,Miller Peak,4,3,8,3200,6400,July-Oct
